0	1	0	8.50262	7.74302
0	1	1	8.99411	6.55004
0	1	2	9.44321	6.63993
0	2	0	9.155	7.85424
0	2	1	9.33609	7.31902
0	2	2	9.09448	7.29974
0	3	0	9.41539	6.93076
0	3	1	9.06169	6.79512
0	3	2	9.02095	6.5916
0	4	0	8.40267	7.49124
0	4	1	8.79645	6.68926
0	4	2	9.30872	7.28436
0	5	0	8.83705	7.37388
0	5	1	9.34451	7.11671
0	5	2	9.53454	6.5677
0	6	0	8.86548	7.47198
0	6	1	8.88714	6.60223
0	6	2	8.91155	6.58432
0	7	0	9.05008	7.55167
0	7	1	9.31505	6.2461
0	7	2	9.71382	6.63702
1	1	0	8.40034	4.47309
1	1	1	7.99412	3.86624
1	1	2	8.56045	4.24576
1	2	0	7.86666	4.9982
1	2	1	7.87776	4.02854
1	2	2	7.6587	5.01697
1	3	0	7.59666	3.87764
1	3	1	8.67003	3.70257
1	3	2	7.31358	3.91037
1	4	0	7.40088	4.19828
1	4	1	8.29835	3.94871
1	4	2	7.81646	4.05412
1	5	0	8.17464	3.68655
1	5	1	8.26643	3.78766
1	5	2	7.89617	4.49743
1	6	0	7.58475	4.38029
1	6	1	7.99352	3.97412
1	6	2	8.01001	4.41637
1	7	0	8.31728	3.70077
1	7	1	8.54925	3.4132
1	7	2	7.8752	3.58046
