121	142	47.6078	0.885	2.8448	9.66666
113	61	43.189	0.875	-25.9616	-3.66666
91	24	43.2096	0.855	18.6624	6
119	12	47.1415	0.92	12.4288	12
93	130	45.8304	0.85	-12.1504	-1.99999
86	105	53.7751	0.855	-17.6608	-14
70	144	41.2443	0.865	-14.4352	22.3333
69	66	47.9013	0.81	2.0896	13.6667
89	77	-121.243	0.85	1578.49	19
100	82	23.7765	0.88	7.2864	8
101	135	58.3488	0.895	-2.5408	-4
66	30	43.3166	0.87	-9.664	-2.66666
79	149	48.0151	0.93	-26.6848	-28.3333
111	150	51.0953	0.915	3.27039	5.66667
105	74	53.717	0.875	-19.5829	-24
112	145	50.4864	0.91	-9.0624	-43.3333
68	83	44.3712	0.885	-7.1872	-7.66666
107	119	0	0.855	0	6
114	108	50.4987	0.87	5.6384	0.666668
10	15	50.8539	1.20272e-153	-16.7168	5.21738e-58
105	10	93.3545	0.875	5.3472	-24
112	80	51.7893	0.91	-14.2944	-43.3333
63	20	48.1344	0.815	-3.7184	3.33334
88	89	47.8011	0.87	9.84	15.6667
100	19	49.5045	0.88	17.1584	8
99	78	50.8128	0.89	-14.1728	-4.66668
96	57	51.5835	0.89	-26.3584	-25
82	14	52.7643	0.905	-31.3952	-27.6667
114	75	47.4569	0.87	-0.2912	0.666668
110	73	58.0965	0.86	11.1104	-2.33333
102	47	48.0521	0.865	-4.8224	16.6667
