 121	142	47.9301	0.86	-6.9952	1.00001
113	61	42.5321	0.855	-31.7024	2.33334
91	24	42.4515	0.905	21.2456	-7
119	12	47.387	0.88	5.22559	10
93	130	108.661	0.915	-146.73	0.666673
86	105	54.3826	0.88	-5.0912	-2.66667
70	144	40.9632	0.855	5.0528	7.66667
69	66	48.9326	0.87	-12.08	12.6667
89	77	47.9205	0.94	9.5744	8.33335
100	82	24.4334	0.885	4.3392	9.33334
101	135	59.9342	0.91	5.3504	-0.333339
66	30	44.8224	0.855	-1.9392	10.3333
79	149	48.4334	0.915	-18.2688	5.33333
111	150	51.2613	0.905	-15.6704	-8.33333
105	74	54.3538	0.775	-12.4544	9
112	145	51.7522	0.92	-9.8208	-24
68	83	45.3257	0.905	6.336	10.3333
107	119	50.4562	0.9	-5.1488	-1.33334
114	108	50.987	0.87	14.3776	8.33333
10	15	51.6946	1.20272e-153	5.7248	5.21738e-58
105	10	92.976	0.775	-12.688	9
112	80	53.6955	0.92	-10.0704	-24
63	20	49.1561	0.865	25.5776	18
88	89	47.7861	0.845	17.9808	27.6667
100	19	52.4229	0.885	-7.984	9.33334
99	78	51.3888	0.905	-14.0768	-0.333329
96	57	52.9509	0.825	2.19201	13.6667
82	14	54.251	0.805	-16.4864	6.66667
114	75	48.5568	0.87	2.1632	8.33333
110	73	59.088	0.85	-14.32	-27
102	47	49.9803	0.895	-9.6992	4.66666
