10	22.292	22.5202
20	27.6031	27.4359
30	34.1621	34.5306
40	42.1595	42
50	49.9326	50.1396
60	58.147	58.7546
70	66.5585	67.0463
80	74.7085	74.6155
90	83.2765	83.2119
100	92.0058	91.8189
200	178.703	179.167
300	266.328	265.976
400	354.794	355.509
500	442.62	442.347
600	530.259	530.242
700	618.501	617.528
800	706.164	706.63
900	794.087	794.943
1000	880.793	880.513
