0	0	0	0.895   11.3333   0.0490747   10.6014
0	0	1	0.85   -3.33333   0.0461881   9.97776
0	0	2	0.945   -32   0.0779423   16.8375
0	1	0	0.91   8.33334   0.00577354   1.24723
0	1	1	0.93   -26   0.0173205   3.74166
0	1	2	0.93   -32.6667   0.011547   2.49444
1	0	0	0.89   14.3333   0.023094   4.98887
1	0	1	0.81   6.33333   0.00577351   1.24722
1	0	2	0.875   -16   0.00866021   1.87082
1	1	0	0.85   25   4.30159e-08   9.29251e-06
1	1	1	0.89   -12.3333   0.011547   2.49443
1	1	2	0.895   -23.3333   0.00288676   0.623611
2	0	0	0.855   18.6667   0.00288671   0.623602
2	0	1	0.92   -20   0.034641   7.48331
2	0	2	0.905   -29.6667   0.00288679   0.623618
2	1	0	0.95   -0.333344   0.011547   2.49443
2	1	1	0.985   -37   0.00866028   1.87083
2	1	2	0.95   -41   0.0173205   3.74166
3	0	0	0.915   14   0.00866029   1.87084
3	0	1	0.87   -3.33334   0.023094   4.98888
3	0	2	0.91   -21   0.069282   14.9666
3	1	0	0.945   11   0.00866029   1.87084
3	1	1	0.915   -14   0.0433013   9.35414
3	1	2	0.92   -22   0.069282   14.9666
4	0	0	0.94   10.3333   0.00577351   1.24722
4	0	1	0.905   -6   0.0433013   9.35414
4	0	2	0.92   -23   0.0346411   7.48333
4	1	0	0.9   21.6667   0.00577347   1.24721
4	1	1	0.89   -3.33334   0.011547   2.49443
4	1	2	0.92   -21.3333   0.011547   2.49444
5	0	0	0.945   11   0.0433013   9.35414
5	0	1	0.885   -5.66666   0.00288669   0.623597
5	0	2	0.925   -25   0.0606218   13.0958
5	1	0	0.895   22.3333   0.0144337   3.11804
5	1	1	0.905   -6.66666   0.00288674   0.623606
5	1	2	0.92   -21   0.0173205   3.74166
6	0	0	0.935   7   0.00866021   1.87082
6	0	1	0.89   -8.33334   0.00577351   1.24722
6	0	2	0.93   -30   0.034641   7.48331
6	1	0	0.925   12.6667   0.0548483   11.8486
6	1	1	0.915   -14.3333   0.0375278   8.10692
6	1	2	0.955   -34.3333   0.00288677   0.623613
